Time (s),Amplitude (V)
8.783648654053839e-05,0.0
8.784648614055438e-05,0.016666666666666607
8.785648574057039e-05,0.0
8.786648534058638e-05,0.016666666666666607
8.787648494060239e-05,0.0
8.788648454061838e-05,0.0
8.789648414063438e-05,0.0
8.790648374065038e-05,0.0
8.791648334066638e-05,0.0
8.792648294068238e-05,0.0
8.793648254069838e-05,0.0
8.794648214071437e-05,0.0
8.795648174073038e-05,0.0
8.796648134074637e-05,0.0
8.797648094076238e-05,0.0
8.798648054077837e-05,0.0
8.799648014079437e-05,0.016666666666666607
8.800647974081037e-05,0.0
8.801647934082637e-05,0.0
8.802647894084238e-05,0.0
8.803647854085837e-05,0.016666666666666607
8.804647814087436e-05,0.0
8.805647774089037e-05,0.0
8.806647734090636e-05,0.0
8.807647694092237e-05,0.0
8.808647654093837e-05,0.016666666666666607
8.809647614095436e-05,0.016666666666666607
8.810647574097037e-05,0.0
8.811647534098636e-05,0.0
8.812647494100237e-05,0.016666666666666607
8.813647454101836e-05,0.0
8.814647414103437e-05,0.0
8.815647374105036e-05,0.0
8.816647334106636e-05,0.016666666666666607
8.817647294108236e-05,-0.016666666666666607
8.818647254109836e-05,0.0
8.819647214111437e-05,0.0
8.820647174113036e-05,0.016666666666666607
8.821647134114635e-05,0.0
8.822647094116236e-05,0.016666666666666607
8.823647054117835e-05,0.0
8.824647014119436e-05,0.0
8.825646974121036e-05,0.0
8.826646934122635e-05,0.0
8.827646894124236e-05,0.0
8.828646854125835e-05,0.0
8.829646814127436e-05,0.0
8.830646774129035e-05,0.0
8.831646734130635e-05,0.0
8.832646694132235e-05,0.0
8.833646654133835e-05,0.016666666666666607
8.834646614135435e-05,0.0
8.835646574137035e-05,0.0
8.836646534138636e-05,0.0
8.837646494140235e-05,0.0
8.838646454141834e-05,0.0
8.839646414143435e-05,0.0
8.840646374145034e-05,0.0
8.841646334146635e-05,0.0
8.842646294148235e-05,0.0
8.843646254149834e-05,0.0
8.844646214151435e-05,0.0
8.845646174153034e-05,0.0
8.846646134154635e-05,0.0
8.847646094156234e-05,0.0
8.848646054157834e-05,0.0
8.849646014159434e-05,0.0
8.850645974161034e-05,0.0
8.851645934162634e-05,0.016666666666666607
8.852645894164234e-05,0.0
8.853645854165833e-05,0.0
8.854645814167434e-05,0.0
8.855645774169033e-05,0.0
8.856645734170634e-05,0.016666666666666607
8.857645694172233e-05,0.0
8.858645654173834e-05,0.0
8.859645614175434e-05,0.0
8.860645574177033e-05,0.0
8.861645534178634e-05,-0.016666666666666607
8.862645494180233e-05,-0.016666666666666607
8.863645454181834e-05,0.0
8.864645414183433e-05,-0.016666666666666607
8.865645374185033e-05,0.0
8.866645334186633e-05,0.0
8.867645294188233e-05,0.0
8.868645254189833e-05,0.0
8.869645214191433e-05,0.0
8.870645174193032e-05,0.016666666666666607
8.871645134194633e-05,0.016666666666666607
8.872645094196232e-05,0.016666666666666607
8.873645054197833e-05,0.016666666666666607
8.874645014199432e-05,0.0
8.875644974201032e-05,0.0
8.876644934202633e-05,0.0
8.877644894204232e-05,0.0
8.878644854205833e-05,-0.016666666666666607
8.879644814207432e-05,-0.016666666666666607
8.880644774209033e-05,0.0
8.881644734210632e-05,0.0
8.882644694212232e-05,-0.016666666666666607
8.883644654213832e-05,-0.016666666666666607
8.884644614215432e-05,0.0
8.885644574217032e-05,0.0
8.886644534218632e-05,0.0
8.887644494220231e-05,0.016666666666666607
8.888644454221832e-05,0.0
8.889644414223431e-05,0.016666666666666607
8.890644374225032e-05,0.016666666666666607
8.891644334226631e-05,0.0
8.892644294228231e-05,0.016666666666666607
8.893644254229832e-05,0.016666666666666607
8.894644214231431e-05,0.0
8.895644174233032e-05,0.0
8.896644134234631e-05,0.0
8.89764409423623e-05,-0.016666666666666607
8.898644054237831e-05,0.0
8.89964401423943e-05,0.0
8.900643974241031e-05,0.0
8.90164393424263e-05,0.0
8.90264389424423e-05,0.0
8.903643854245831e-05,0.0
8.90464381424743e-05,0.016666666666666607
8.905643774249031e-05,0.0
8.90664373425063e-05,0.0
8.907643694252231e-05,0.016666666666666607
8.90864365425383e-05,0.016666666666666607
8.90964361425543e-05,0.0
8.91064357425703e-05,0.0
8.91164353425863e-05,0.0
8.91264349426023e-05,0.0
